order,government_type,style,type,data_table,parent,name,footnote,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
81,federal,,row,Spending By Mission,Spending By Mission,Secure the Blessings of Liberty to Ourselves and Our Posterity,,254086355,310909112,354372386,379382915,401862921,447244810,472589340,483169652,509083052,551798663,596624049,641839803,683672518,720678529,747014441,812656000,844483000,880552000,903875000,910389000,940400000,962678000,964454000,991285000,1041310000,1135733000,1261684000,1316076000,1389629000,1520079000,1520980000,1574904000,1580927000,1575727000,1656897000,1803318000
82,federal,,row,Spending By Mission,Secure the Blessings of Liberty to Ourselves and Our Posterity,Education,,4329717,6205890,5755774,4536536,5222365,5462535,5084967,4171338,4521222,6397898,6918833,7808689,6603804,9267421,3404279,9927000,8038000,7679000,6846000,4330000,4082000,2651000,8723000,12273000,13998000,19988000,39202000,13115000,9901000,-22669000,-9196000,-32491000,-18444000,-30002000,-8832000,24122000
83,federal,,row,Spending By Mission,Education,Education Inside the Classroom,,3467879,5316868,4853160,3694881,4156273,4516832,4137618,3192882,3518858,5306274,5761688,6528093,4931398,7546504,1618291,8102000,6164000,5871000,4982000,2406000,2104000,615000,6500000,10122000,11736000,17662000,36966000,10750000,7490000,-25309000,-11967000,-35347000,-21308000,-32869000,-11587000,21370000
84,federal,,row,Spending By Mission,Education Inside the Classroom,Elementary and Secondary Education,,436966,461003,456932,545400,557669,512673,343175,631277,500772,585090,579728,866231,698081,722884,842917,979000,839000,833000,859000,875000,1204000,1497000,2166000,1861000,1724000,1747000,1648000,1455000,1432000,1527000,1504000,1890000,1965000,2124000,1871000,1972000
85,federal,,row,Spending By Mission,Education Inside the Classroom,Higher Education (excludes Pell Grants; net of loan repayments),,3020625,4850345,4380589,3136930,3574763,3978989,3767651,2556044,3003362,4703231,5162364,5608966,4174078,6766291,726823,7090000,5300000,5018000,4097000,1505000,886000,-910000,4298000,8226000,9976000,15878000,35289000,9266000,6034000,-26865000,-13493000,-37259000,-23293000,-35010000,-13474000,19380000
86,federal,,row,Spending By Mission,Education Inside the Classroom,Vocational Education,,10288,5520,15639,12551,23841,25170,26792,5561,14724,17953,19596,52896,59239,57329,48551,33000,25000,20000,26000,26000,14000,28000,36000,35000,36000,37000,29000,29000,24000,29000,22000,22000,20000,17000,16000,18000
87,federal,,row,Spending By Mission,Education,Education Outside the Classrooom (includes libraries and museums),,861838,889022,902614,841655,1066092,945703,947349,978456,1002364,1091624,1157145,1280596,1672406,1720917,1785988,1825000,1874000,1808000,1864000,1924000,1978000,2036000,2223000,2151000,2262000,2326000,2236000,2365000,2411000,2640000,2771000,2856000,2864000,2867000,2755000,2752000
88,federal,,row,Spending By Mission,Secure the Blessings of Liberty to Ourselves and Our Posterity,Sustainability and Self-Sufficiency,,26534765,33783762,36243830,38637104,27200363,37539320,43055724,37411597,27867076,30452425,26834035,30433451,34172039,39583301,36195828,31501000,28561000,26600000,30856000,42577000,54977000,45644000,45500000,44454000,38365000,47551000,52295000,41000000,43553000,57152000,64039000,63981000,61631000,69952000,57673000,53053000
89,federal,,row,Spending By Mission,Sustainability and Self-Sufficiency,"Energy (includes net expenditures of energy utilities, e.g., TVA)",,9815301,14710647,13209335,9031019,6705508,5219980,4273601,3729181,1936031,2379775,2977794,2085801,4146112,4002648,4921531,4654000,2465000,1147000,931000,500000,-1154000,-475000,-50000,-1312000,-755000,-196000,134000,-1519000,107000,3756000,8962000,7046000,10635000,10106000,4511000,6261000
90,federal,,row,Spending By Mission,Sustainability and Self-Sufficiency,Environment and Natural Resources,,8514902,8661681,8153892,8614662,8800674,9263122,9345325,9262032,10863132,12572700,13336949,14513410,16080864,16453007,17296943,17956000,17693000,15422000,16626000,18101000,18623000,18676000,22262000,22096000,22777000,20264000,25033000,23682000,23916000,30170000,32705000,35292000,31915000,28906000,27741000,27269000
91,federal,,row,Spending By Mission,Sustainability and Self-Sufficiency,Agriculture,,8204562,10411434,14880603,20991423,11694181,23056218,29436798,24420384,15067913,15499950,10519292,13834240,13945063,19127646,13977354,8891000,8403000,10031000,13299000,23976000,37508000,27443000,23288000,23670000,16343000,27483000,27128000,18837000,19530000,23226000,22372000,21643000,19081000,30940000,25421000,19523000
92,federal,,row,Spending By Mission,Secure the Blessings of Liberty to Ourselves and Our Posterity,Wealth and Savings,,223221873,270919460,312372782,336209275,369440193,404242955,424448649,441586717,476694754,514948340,562871181,603597663,642896675,671827807,707414334,771228000,807884000,846273000,866173000,863482000,881341000,914383000,910231000,934558000,988947000,1068194000,1170187000,1261961000,1336175000,1485596000,1466137000,1543414000,1537740000,1535777000,1608056000,1726143000
93,federal,,row,Spending By Mission,Wealth and Savings,Social Security,,118546801,139584428,155963940,170723539,178222816,188623082,198756366,207351976,219340581,232542077,248622598,269014328,287584387,304584743,319564709,335846000,349671000,365251000,379215000,390037000,409417000,432958000,455979000,474678000,495541000,523303000,548540000,586137000,617004000,682918000,706709000,730784000,773261000,813529000,850517000,887738000
94,federal,,row,Spending By Mission,Social Security,Retirement (FOASI),,102669877,121764112,137253355,135209189,153323671,164252414,171556101,180676586,191559286,203332152,219087132,235403689,250339747,263988277,276207426,289331000,299560000,312083000,321149000,327718000,340918000,361229000,376540000,390330000,404005000,421467000,440413000,468456000,493467000,532671000,558820000,510613000,511071000,620374000,681134000,711607000
95,federal,,row,Spending By Mission,Social Security,Disability (FDI),,15201844,17149860,17867070,15412330,17082978,18390511,18611831,21060196,22013695,23055898,24828217,27639512,31078594,34360665,37673832,41039000,43977000,46289000,48920000,51495000,55245000,59198000,65423000,70991000,77415000,85249000,91757000,98295000,105754000,116151000,124567000,118097000,121805000,137076000,143490000,145141000
96,federal,,row,Spending By Mission,Social Security,Other Social Security (includes unallocable),,675080,670456,843515,20102020,7816167,5980157,8588434,5615194,5767600,6154027,4707249,5971127,6166046,6235801,5683451,5476000,6134000,6879000,9146000,10824000,13254000,12531000,14016000,13357000,14121000,16587000,16370000,19386000,17783000,34096000,23322000,102074000,140385000,56079000,25893000,30990000
97,federal,,row,Spending By Mission,Wealth and Savings,Medicare (net of premiums),,32089580,39148729,46567472,52587740,57537672,65822367,70163956,75120105,78878475,84964394,98101537,104489292,119023572,130551946,144747722,159854000,174226000,190016000,192823000,190447000,197113000,217384000,230855000,249433000,269360000,298638000,329838000,375401000,390775000,430095000,451629000,485744000,472081000,497740000,511550000,546108000
98,federal,,row,Spending By Mission,Wealth and Savings,General Retirement Programs (includes Railroad Retirement and PBGC),,5083081,5439462,5570663,5581077,5441411,5616954,5329680,5564665,5294174,5650358,5148327,4945054,5482621,4346698,5720012,5106000,5281000,4752000,4665000,1959000,5298000,5943000,5855000,7103000,6588000,7043000,4651000,7943000,9066000,8342000,6737000,6913000,8014000,7165000,8889000,7979000
99,federal,,row,Spending By Mission,Wealth and Savings,Housing Support,,5785043,5922533,5883215,4966470,4136065,2748261,643752,-451029,4815748,5266072,3887411,5369324,4329100,1562123,-491567,-1025000,-5013000,-3993000,150000,1506000,-3289000,-1121000,-6963000,-3292000,1615000,-1678000,-1040000,-5487000,-681000,99222000,35186000,13853000,-8213000,-88201000,-84349000,-36018000
100,federal,,row,Spending By Mission,Housing Support,General Housing Support (Net of loan repayments),,2160851,2008442,1837666,1382342,706212,-1222485,-2591356,-1249851,1204145,1655584,873051,2131121,2335045,443692,-1598760,-2605000,-5759000,-4468000,329000,1841000,-2677000,-653000,-6255000,-2005000,2141000,-865000,-783000,-5171000,-521000,12928000,4004000,875000,-1308000,7777000,-10662000,-14152000
101,federal,,row,Spending By Mission,Housing Support,"Housing-Related GSE expenditures (Fannie Mae, Freddie Mac assistance)",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54000,86776000,30876000,12633000,-7527000,-96888000,-74463000,-22557000
102,federal,,row,Spending By Mission,Housing Support,Rural Housing Programs (Net of loan repayments),,3624192,3914091,4045549,3584128,3429853,3970746,3235108,798822,3611603,3610488,3014360,3238203,1994055,1118431,1107193,1580000,746000,475000,-179000,-335000,-612000,-468000,-708000,-1287000,-526000,-813000,-257000,-316000,-106000,-482000,306000,345000,622000,910000,776000,691000
103,federal,,row,Spending By Mission,Wealth and Savings,Obligations,,61717368,80824308,98387492,102350449,124102229,141432291,149554895,154001000,168365776,186525439,207111308,219779665,226476995,230782297,237873458,271447000,283719000,290247000,289320000,279533000,272802000,259219000,224505000,206636000,215843000,240888000,288198000,297967000,320011000,265019000,265876000,306120000,292597000,305544000,321449000,320336000
104,federal,,row,Spending By Mission,Obligations,Employee Retirement and Disability Benefits,,27291545,32183775,35373841,37623621,39494300,39912061,42109868,45663822,48765083,49928918,53784454,58578259,60725666,63105146,65940147,69728000,72395000,76359000,78205000,80219000,82209000,85955000,88726000,94896000,99772000,106036000,111780000,119412000,126354000,136156000,137337000,140749000,140183000,149200000,155525000,161846000
105,federal,,row,Spending By Mission,Obligations,Offset for Government Employee Contributions for Retirement and Disability,,-3718733,-3984418,-4211749,-4428709,-4580301,-4758886,-4741637,-4714948,-4658432,-4546152,-4521568,-4567576,-4788098,-4804587,-4660949,-4550000,-4469000,-4418000,-4333000,-4473000,-4761000,-4713000,-4594000,-4631000,-4594000,-4459000,-4358000,-4258000,-4169000,-4143000,-4097000,-4035000,-3740000,-3564000,-3472000,-3652000
106,federal,,row,Spending By Mission,Obligations,Offset for Government Employer Contributions for Retirement and Disability,,-14388585,-16141176,-17806303,-20652280,-21913457,-23198583,-23830209,-25559200,-27543842,-27838466,-26498406,-28679189,-28804719,-26231465,-26337981,-25865000,-25260000,-25678000,-25670000,-25968000,-27595000,-28190000,-30576000,-36702000,-39580000,-44675000,-45827000,-54296000,-54931000,-53896000,-63558000,-60556000,-64254000,-60977000,-59560000,-61039000
107,federal,,row,Spending By Mission,Obligations,Interest on Debt (net of interest on investments),,52533141,68766127,85031703,89807817,111101687,129477699,136016873,138611326,151802967,168981139,184346828,194448171,199344146,198713203,202932241,232134000,241053000,243984000,241118000,229755000,222949000,206167000,170949000,153073000,160245000,183986000,226603000,237109000,252757000,186902000,196194000,229962000,220408000,220885000,228956000,223181000
108,federal,,row,Spending By Mission,Spending By Mission,General Government,1,4345702,4438410,4372892,4668180,5035426,5275052,6161186,5956757,7525672,6707291,7967338,9198100,10745334,10780915,8894141,11141000,9454000,10105000,10070000,12092000,10650000,11785000,14237000,14163000,14173000,13218000,14479000,14097000,16684000,18112000,18201000,19965000,20047000,19980000,18919000,13794000
109,federal,subtotal,row,Spending By Mission,Spending By Mission,Non-Grant Assistance to Territories and S&L Governments,,118974,149607,48052,126411,93758,-299294,-544517,9874,138796,126523,150136,147307,-136237,32633,131500,324000,161000,168000,103000,169000,178000,180000,197000,199000,174000,227000,192000,233000,208000,275000,227000,245000,4005000,4135000,3821000,3754000
110,federal,,total_row,Spending By Mission,Spending By Mission,Total Spending (Net Expenditures),,592776596,686156141,749859637,817506768,857437758,951426993,995109127,1010483282,1069396532,1148813278,1258906091,1330674210,1387960688,1416699862,1469291048,1530442000,1568974000,1621595000,1670157000,1712249000,1799572000,1877386000,2023564000,2173574000,2307948000,2488820000,2673943000,2761484000,3016008000,3554747000,3478268000,3628341000,3573880000,3484044000,3532124000,3740179000
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,federal,memo,data_table,,,Memo: Grants to State & Local Governments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,federal,subtotal,row,Memo: Grants to State & Local Governments,Memo: Grants to State & Local Governments,Grants to State and Local Governments and Territories,,91385203,94703683,88134375,92447649,97552538,105851907,112330930,108399827,115341544,121928237,135324943,154518646,178065422,193612109,210596182,224991000,227811000,234160000,246128000,267886000,285874000,318542000,352895000,388542000,407512000,428018000,434099000,443797000,461317000,537991000,608390000,606766000,544569000,546171000,576967000,624354000
114,federal,,row,Memo: Grants to State & Local Governments,Grants to State and Local Governments and Territories,Child and Social Services,,13087060,14625185,13598580,14114632,15595614,15560181,16718591,17420891,18242320,19938495,21358154,24379447,26715740,27393067,29872214,31289000,30695000,20329000,17611000,18831000,19996000,21907000,23695000,24398000,24874000,25524000,25684000,26302000,26652000,27047000,29228000,28453000,27387000,27618000,26968000,28418000
115,federal,,row,Memo: Grants to State & Local Governments,Grants to State and Local Governments and Territories,Transportation,,13021518,13403866,12110064,13199897,14987859,17009438,18317521,16872872,18042648,18176317,19173829,19825945,20556224,22291611,23633409,25787000,25957000,26846000,26144000,28904000,32222000,36647000,40997000,41026000,41471000,43370000,46683000,47945000,51216000,55438000,60981000,60986000,60749000,60518000,62260000,60831000
116,federal,,row,Memo: Grants to State & Local Governments,Grants to State and Local Governments and Territories,Community and Regional Development,,6105652,5855635,5265722,4775988,4940586,5041418,4562493,4033246,4093463,3941357,3780221,3777043,3910250,3828125,4590796,5458000,5953000,6012000,5904000,6067000,6226000,6475000,7045000,7221000,7114000,6626000,6554000,12386000,10591000,8300000,10425000,10479000,10052000,8983000,8473000,8433000
117,federal,,row,Memo: Grants to State & Local Governments,Grants to State and Local Governments and Territories,Cash Programs for Aid to the Disadvantaged (Grants),,377539,685805,897511,516822,592979,420057,422197,373808,311787,370255,391089,228336,304098,326585,332552,346000,319000,10003000,13580000,14397000,15744000,18928000,19111000,19704000,18153000,17819000,17399000,17321000,19764000,19477000,20989000,19704000,17447000,18094000,17559000,17482000
118,federal,,row,Memo: Grants to State & Local Governments,Cash Programs for Aid to the Disadvantaged (Grants),TANF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9726000,13286000,14161000,15464000,18583000,18749000,19352000,17725000,17400000,16974000,16932000,17880000,18933000,20418000,19072000,16814000,17806000,16887000,16670000
119,federal,,row,Memo: Grants to State & Local Governments,Grants to State and Local Governments and Territories,Non-Cash Programs for Aid to the Disadvantaged (Grants),,23741906,27789013,29110479,33224996,34912481,38767907,42328497,45046443,49512977,54105608,62153907,75922702,93655799,104527955,114652431,124479000,126157000,132919000,142081000,153159000,161356000,178534000,201114000,219476000,235976000,246452000,246808000,258279000,271575000,327595000,359201000,361724000,331889000,344922000,380659000,430229000
120,federal,,row,Memo: Grants to State & Local Governments,Non-Cash Programs for Aid to the Disadvantaged (Grants),Child Care Assistance,,0,0,0,0,0,0,0,0,0,0,0,0,0,410841,786421,933000,933000,2307000,3120000,3283000,3302000,3705000,4525000,5189000,4826000,4894000,5245000,5122000,4977000,5298000,5852000,6075000,5019000,5040000,5055000,5122000
121,federal,,row,Memo: Grants to State & Local Governments,Non-Cash Programs for Aid to the Disadvantaged (Grants),Medicaid and CHIP,,13956700,16833344,17390734,18985244,20060943,22654604,24995451,27435204,30461630,34603976,41103202,52532714,67827253,75774060,82033658,89070000,91990000,95552000,101239000,108607000,119141000,133135000,151342000,165175000,180886000,186933000,187345000,197899000,208753000,258969000,281189000,284159000,260076000,275392000,311297000,359572000
122,federal,,row,Memo: Grants to State & Local Governments,Non-Cash Programs for Aid to the Disadvantaged (Grants),Housing Assistance,,3452878,4058580,4921918,5718110,5768935,6417011,7442787,7400093,8650829,8553124,9552419,10466473,12289667,14125598,15809694,18434000,16789000,17717000,19668000,22830000,19974000,21139000,23661000,25975000,27038000,30203000,27957000,28883000,29184000,29965000,37505000,35850000,29875000,27941000,28474000,28561000
123,federal,,row,Memo: Grants to State & Local Governments,Grants to State and Local Governments and Territories,Elementary and Secondary Education,,5591633,5909697,5447226,4994838,5182428,6426913,6423797,6007311,6600524,7722918,8031494,9415196,10624501,11568137,12074714,12233000,12684000,12838000,14296000,15350000,17912000,19682000,21935000,27669000,30691000,34557000,36075000,35016000,35591000,49645000,69746000,62618000,43661000,38498000,37261000,36395000
124,federal,,row,Memo: Grants to State & Local Governments,Grants to State and Local Governments and Territories,Vocational Education,,854115,722908,801905,705018,718696,633144,1007771,1224966,1261076,824083,1287089,1037506,1019814,1133120,1292212,1449000,1323000,1382000,1425000,1338000,1448000,1651000,1742000,1908000,1909000,1930000,1958000,1927000,1871000,2005000,1989000,1946000,1846000,1768000,1665000,1637000
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,federal,memo,data_table,,,Memo: Alternative Categorization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,federal,subtitle,row,Memo: Alternative Categorization,Memo: Alternative Categorization,Memo: Alternative Categorization Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,federal,,row,Memo: Alternative Categorization,Memo: Alternative Categorization Totals,All Health Expenditures,,61772099,126793870,137718348,147536115,156453716,171280143,181858635,193010667,207850309,222755347,252207212,276782482,317502585,343899563,372604504,401590000,419628000,448067000,461001000,470820000,501898000,553544000,603951000,660982000,716721000,770782000,838300000,883963000,924444000,1047688000,1120514000,1165724000,1122326000,1182696000,1255703000,1255703001
129,federal,,row,Memo: Alternative Categorization,Memo: Alternative Categorization Totals,All Education Expenditures,,6723273,18478408,15879834,13460539,14467551,16128236,15900865,12497517,14271832,20010677,21456890,23198059,19638798,28036254,9358671,28387000,22820000,22366000,20303000,13724000,12056000,8065000,26027000,39572000,45650000,63660000,121521000,43613000,36085000,-56566000,-5631000,-72937000,-34047000,-70097000,-6442000,-6441999
130,federal,,row,Memo: Alternative Categorization,Memo: Alternative Categorization Totals,All Expenditures on Indian Programs,,1669867,77817445,80010650,81128473,71806829,96954571,88229061,82316566,82790900,89947250,91039856,102266816,113269447,125690183,115629625,124778000,114928000,119120000,132415000,147457000,161409000,159248000,175904000,197304000,211515000,225558000,251999000,217357000,230697000,250946000,308657000,274412000,257958000,249504000,250419000,250419001
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,federal,,footnotes,,,Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,federal,,footnote,,Footnotes,"Includes activities that support government or cannot be classified in other categories, such as funding for Congress and state legislatures, the office of the President, facilities maintenance and operation, and archives, among others.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
